Attendance,Internal_Marks,Study_Hours,Backlogs,CGPA,Risk_Level
56.75,44.21,6.94,4,4.18,High
79.61,55.65,9.35,1,7.17,Medium
42.26,53.24,6.9,3,5.24,High
68.14,40.07,1.1,3,5.52,High
64.46,41.58,4.15,3,4.33,High
59.22,53.09,3.61,4,4.59,High
97.96,92.73,27.89,0,8.39,Low
71.7,61.5,9.6,2,7.48,Medium
59.68,50.23,0.54,5,4.36,High
97.18,89.11,20.72,0,9.28,Low
71.07,65.29,14.19,0,6.71,Medium
87.39,86.23,21.09,0,8.06,Low
92.99,82.06,25.19,0,8.29,Low
51.12,48.73,1.19,5,4.27,High
71.15,64.09,9.5,1,6.52,Medium
70.97,63.96,9.89,2,7.97,Medium
52.2,38.31,6.95,5,5.54,High
77.94,74.0,14.34,1,6.13,Medium
98.25,95.28,23.89,1,8.05,Low
78.61,60.06,9.6,0,7.25,Medium
82.68,73.11,14.48,0,6.23,Medium
94.56,93.19,22.06,0,9.65,Low
77.47,59.92,12.64,1,6.49,Medium
92.23,82.42,29.39,1,8.45,Low
93.57,80.67,24.27,0,9.57,Low
89.94,86.14,24.4,0,9.97,Low
94.63,81.31,28.95,0,8.6,Low
59.89,32.48,6.54,3,4.68,High
93.33,98.86,23.8,0,8.67,Low
88.61,84.76,29.15,0,9.72,Low
80.16,66.57,9.47,1,6.98,Medium
91.69,93.97,18.41,0,8.72,Low
52.83,50.55,6.36,5,5.25,High
45.71,43.52,3.91,4,4.66,High
95.36,83.55,18.13,0,9.62,Low
90.69,75.86,18.82,1,9.24,Low
73.12,55.82,13.52,2,6.83,Medium
91.18,81.5,18.22,1,9.16,Low
80.46,59.3,10.47,1,7.16,Medium
91.96,97.27,16.77,0,9.57,Low
86.09,84.38,18.45,0,9.33,Low
94.92,78.47,24.84,0,8.51,Low
48.22,30.71,7.76,3,5.62,High
89.66,93.01,22.75,0,8.08,Low
99.45,78.56,18.57,0,8.47,Low
42.61,40.05,0.43,3,5.97,High
84.44,62.9,9.32,1,7.28,Medium
99.42,83.98,23.61,1,8.66,Low
72.35,69.92,14.67,1,7.92,Medium
89.59,97.41,26.31,1,9.0,Low
97.12,75.47,23.97,0,9.24,Low
92.04,84.0,26.19,1,9.12,Low
76.54,67.83,8.28,1,7.02,Medium
86.65,99.06,19.18,0,9.25,Low
72.2,59.72,12.78,2,7.15,Medium
69.82,31.49,7.53,3,4.6,High
76.63,66.7,8.94,0,7.54,Medium
85.88,88.94,29.04,1,9.79,Low
98.91,94.72,24.72,1,8.99,Low
98.81,92.51,27.44,0,8.59,Low
81.94,57.34,8.96,0,6.2,Medium
83.8,63.87,8.36,0,6.34,Medium
53.27,44.85,0.58,1,4.7,High
58.63,51.9,3.29,4,5.58,High
40.11,42.9,2.3,3,4.13,High
58.25,53.18,3.18,1,5.08,High
47.08,41.43,4.16,3,5.3,High
73.49,58.7,9.75,1,7.66,Medium
80.66,57.73,8.1,2,6.84,Medium
81.7,61.1,14.58,0,6.67,Medium
92.02,93.07,17.41,1,9.58,Low
70.4,63.16,10.29,1,6.89,Medium
87.98,91.22,16.31,0,8.76,Low
96.88,88.61,24.62,0,9.33,Low
54.93,34.81,1.13,1,5.63,High
53.18,33.89,2.02,5,6.0,High
98.55,82.11,23.12,0,8.09,Low
55.25,54.74,0.08,3,4.6,High
89.29,89.3,29.31,0,9.19,Low
42.65,47.02,7.18,2,5.2,High
81.49,64.38,14.62,1,7.93,Medium
99.22,82.97,25.06,1,10.0,Low
95.31,98.81,25.79,1,8.63,Low
47.85,39.83,6.76,1,4.68,High
96.4,82.58,25.98,1,9.91,Low
59.33,43.22,0.93,4,4.98,High
46.95,37.64,1.63,2,4.68,High
74.22,64.0,13.56,0,6.29,Medium
62.63,41.93,4.7,5,4.11,High
76.08,56.33,14.56,2,6.11,Medium
42.77,47.4,3.86,4,5.15,High
43.62,34.86,3.84,3,6.0,High
74.92,58.58,9.88,1,6.09,Medium
98.12,79.34,28.76,0,9.61,Low
79.04,58.42,13.09,0,7.09,Medium
45.09,42.58,5.67,5,5.64,High
76.78,72.02,14.74,1,7.09,Medium
82.55,63.93,8.33,0,6.93,Medium
68.26,34.52,2.61,3,4.53,High
60.02,50.77,4.03,5,5.78,High
77.95,69.76,8.65,2,7.27,Medium
52.03,47.19,5.65,3,5.97,High
74.03,72.58,8.4,1,6.98,Medium
91.25,95.39,26.28,1,8.66,Low
98.35,80.24,24.8,1,9.82,Low
43.42,50.74,5.11,4,4.8,High
77.54,60.46,12.47,1,6.36,Medium
47.5,40.8,1.66,1,5.01,High
60.47,34.06,0.2,5,4.97,High
82.22,74.06,10.81,1,6.8,Medium
88.79,97.11,17.32,0,9.65,Low
84.01,59.26,12.91,0,7.06,Medium
73.71,63.99,10.42,1,6.99,Medium
97.53,96.21,24.74,0,8.35,Low
66.03,35.62,6.44,5,4.15,High
93.61,77.04,21.71,0,8.53,Low
85.22,81.64,20.99,1,9.66,Low
47.64,31.61,3.6,3,5.59,High
52.51,43.86,3.77,4,5.12,High
80.53,60.09,12.82,1,6.58,Medium
56.67,41.16,2.41,3,4.87,High
99.29,79.04,16.65,0,8.28,Low
77.8,58.04,14.29,1,7.05,Medium
72.03,73.36,14.42,2,6.83,Medium
45.95,31.51,7.37,1,5.72,High
81.34,71.82,8.31,1,7.42,Medium
59.52,46.37,4.5,4,4.86,High
68.68,36.75,1.01,4,5.8,High
96.6,92.55,28.61,0,9.97,Low
40.53,47.41,4.8,4,5.42,High
78.87,63.69,11.34,2,7.49,Medium
64.03,43.7,0.02,2,5.13,High
88.38,92.43,22.58,0,9.52,Low
99.17,99.04,22.3,0,9.03,Low
70.25,70.29,14.54,2,6.79,Medium
94.54,85.76,16.26,1,9.76,Low
65.08,50.17,7.59,4,4.94,High
69.17,50.78,3.52,5,5.43,High
53.94,34.8,3.69,4,4.64,High
96.7,96.77,22.63,0,8.97,Low
91.27,78.59,28.99,0,9.46,Low
89.2,76.39,26.03,0,8.75,Low
97.06,80.18,16.69,0,8.58,Low
59.8,51.18,5.63,4,5.07,High
73.99,65.0,11.85,1,7.91,Medium
54.77,34.29,1.4,2,4.52,High
76.16,69.92,8.34,1,7.99,Medium
60.28,43.02,1.45,1,4.85,High
90.86,86.44,27.03,0,9.19,Low
70.74,57.81,11.72,1,6.38,Medium
99.66,76.6,22.71,0,9.9,Low
90.82,86.58,22.78,1,9.75,Low
83.87,55.79,14.35,0,6.96,Medium
70.48,57.44,8.41,1,6.45,Medium
70.04,55.82,14.58,0,6.03,Medium
54.83,43.36,4.6,5,4.13,High
90.23,84.58,18.48,0,9.83,Low
62.75,54.61,2.16,2,4.35,High
40.04,52.5,1.14,3,4.68,High
82.0,62.96,14.54,0,7.01,Medium
41.36,34.32,1.51,4,4.9,High
47.29,31.9,3.92,5,5.49,High
99.59,75.11,16.8,0,8.8,Low
98.37,79.94,24.21,0,8.75,Low
74.42,72.2,11.15,2,6.87,Medium
71.18,58.95,14.77,1,6.5,Medium
70.75,63.32,11.52,2,7.67,Medium
73.91,55.06,14.01,0,7.43,Medium
95.74,96.43,25.25,0,8.75,Low
99.26,81.32,25.82,0,8.66,Low
83.98,58.8,14.65,0,6.28,Medium
59.36,46.35,6.39,3,4.8,High
71.02,63.11,8.25,1,6.06,Medium
82.31,57.37,14.67,0,6.57,Medium
88.8,79.13,18.61,0,9.89,Low
84.57,57.02,9.65,1,6.44,Medium
94.83,75.09,19.59,0,9.99,Low
81.8,65.72,11.21,2,6.72,Medium
59.5,53.37,4.94,1,5.5,High
78.17,67.2,13.17,2,7.01,Medium
93.12,79.99,27.57,0,8.14,Low
70.08,72.75,11.64,1,6.1,Medium
73.91,68.26,13.51,0,6.63,Medium
94.95,95.35,27.01,0,9.45,Low
84.63,70.92,8.43,0,6.79,Medium
78.41,69.84,13.91,2,7.85,Medium
52.43,41.59,4.2,4,4.22,High
41.86,38.72,2.0,1,5.14,High
86.69,98.43,29.73,0,9.24,Low
67.94,49.03,7.56,1,5.69,High
93.77,88.19,20.61,0,8.46,Low
49.75,39.83,7.89,2,4.03,High
57.73,45.1,7.23,3,5.53,High
97.65,91.27,17.85,1,8.68,Low
82.44,56.12,10.22,0,7.68,Medium
89.38,87.92,23.6,0,9.39,Low
65.64,46.68,1.73,2,4.7,High
62.66,44.34,4.52,4,5.92,High
66.37,39.07,3.28,5,5.29,High
82.38,64.16,13.9,1,7.92,Medium
80.94,70.22,10.53,1,7.46,Medium
91.38,89.24,16.26,0,8.88,Low
98.41,85.69,16.13,0,8.01,Low
85.59,79.94,16.66,1,9.5,Low
89.29,81.66,16.01,0,9.0,Low
94.81,75.4,25.09,1,9.61,Low
99.68,78.69,26.78,0,9.19,Low
52.53,47.76,2.92,5,5.64,High
85.23,97.2,26.33,0,9.74,Low
85.03,85.04,19.68,1,8.07,Low
55.47,54.9,2.93,5,5.0,High
42.31,43.52,4.77,3,4.62,High
75.37,69.99,9.05,1,7.92,Medium
78.39,74.52,12.94,2,7.77,Medium
65.64,33.63,5.43,5,5.58,High
70.08,62.24,14.24,0,7.95,Medium
71.57,74.55,12.69,0,7.09,Medium
68.33,52.79,2.61,3,5.28,High
40.05,53.72,3.26,3,4.78,High
68.4,48.78,0.79,5,4.73,High
77.26,62.17,13.89,2,7.43,Medium
78.4,66.26,10.81,1,7.78,Medium
87.41,91.84,26.44,0,9.1,Low
97.13,78.57,15.58,1,8.85,Low
88.61,94.15,28.79,1,8.22,Low
50.92,51.88,2.33,3,4.56,High
83.95,58.78,10.76,1,6.45,Medium
81.55,71.22,12.41,1,6.84,Medium
93.03,81.55,19.72,0,8.77,Low
93.59,80.57,15.91,0,9.02,Low
88.92,94.16,21.87,0,9.53,Low
89.05,95.54,17.1,0,8.24,Low
93.76,76.75,20.03,0,9.72,Low
70.08,67.95,10.66,2,7.49,Medium
83.07,55.24,12.27,1,7.48,Medium
56.46,39.59,6.4,5,4.92,High
83.47,57.7,8.79,0,7.01,Medium
47.96,46.56,1.55,5,5.4,High
65.33,38.49,4.91,4,4.01,High
94.71,97.58,19.27,0,8.83,Low
66.16,44.12,5.04,1,4.68,High
44.53,45.66,4.16,5,5.07,High
82.7,62.21,8.59,0,7.23,Medium
44.59,43.58,4.9,5,5.49,High
80.39,56.31,8.36,2,6.92,Medium
75.33,73.12,8.16,1,6.08,Medium
74.0,72.07,12.36,0,7.32,Medium
74.48,62.6,8.9,1,7.5,Medium
96.35,94.7,27.62,0,9.28,Low
74.7,58.54,10.48,1,6.53,Medium
99.54,79.95,29.2,0,8.25,Low
70.31,56.92,11.71,1,6.21,Medium
70.63,61.72,14.05,0,6.65,Medium
46.7,48.72,7.07,2,5.56,High
76.08,64.08,13.91,0,7.72,Medium
84.13,67.27,8.78,2,7.53,Medium
42.37,35.04,0.5,4,4.72,High
40.45,50.87,6.76,2,4.14,High
92.36,85.81,26.4,0,8.72,Low
57.74,34.59,0.86,5,4.91,High
98.05,89.31,27.23,1,9.29,Low
95.56,94.34,29.45,1,9.34,Low
89.21,86.11,21.65,1,9.5,Low
76.99,61.65,8.91,0,6.31,Medium
78.11,62.48,14.32,2,6.38,Medium
54.8,37.07,4.9,3,5.24,High
55.72,50.79,4.89,2,5.51,High
71.78,61.01,12.13,0,7.06,Medium
49.62,40.8,1.66,2,4.88,High
85.11,85.63,16.29,1,8.32,Low
86.55,97.6,22.61,1,8.53,Low
51.03,44.07,4.22,3,5.58,High
41.11,50.05,5.84,5,4.06,High
82.93,59.44,14.45,1,6.15,Medium
71.76,68.55,10.99,2,7.9,Medium
42.03,41.4,3.9,3,4.47,High
97.91,82.81,27.38,0,9.83,Low
92.15,97.34,28.93,1,8.0,Low
76.05,69.15,14.33,0,7.17,Medium
89.54,86.89,15.71,1,8.17,Low
74.62,65.43,13.06,2,6.42,Medium
71.87,64.27,11.85,0,7.4,Medium
60.62,30.91,5.47,5,5.95,High
68.76,46.14,2.77,2,4.98,High
70.17,61.22,10.05,1,7.69,Medium
78.16,67.65,10.88,1,7.41,Medium
96.18,81.87,15.79,0,8.69,Low
50.93,43.91,7.6,1,4.42,High
80.7,71.09,11.42,1,7.41,Medium
92.7,76.83,17.53,1,9.38,Low
71.49,72.26,9.44,1,6.25,Medium
82.93,68.04,14.92,1,7.49,Medium
62.69,42.97,2.3,5,5.63,High
99.01,87.22,15.8,0,9.76,Low
99.16,87.87,23.97,1,8.16,Low
91.17,91.44,23.55,0,9.86,Low
77.34,58.81,9.86,0,7.89,Medium
80.33,73.92,10.61,0,6.95,Medium
62.71,38.42,0.08,5,4.39,High
53.23,34.95,4.59,3,5.77,High
95.72,85.63,24.24,0,8.72,Low
75.1,65.93,8.98,0,6.68,Medium
94.86,79.47,23.71,0,9.42,Low
68.94,34.45,2.57,5,4.99,High
75.5,73.91,10.8,2,7.49,Medium
68.75,47.98,4.44,4,5.3,High
68.41,54.33,0.63,1,4.41,High
94.46,81.64,23.42,0,8.19,Low
88.12,80.0,15.69,1,8.77,Low
61.26,49.65,2.1,2,4.13,High
94.13,86.45,24.85,0,8.66,Low
99.27,85.84,29.63,0,9.29,Low
81.96,70.91,9.91,2,7.08,Medium
50.88,44.43,3.96,4,4.37,High
76.5,65.13,9.48,1,6.05,Medium
80.65,59.58,9.68,2,6.75,Medium
72.88,57.49,9.97,1,7.62,Medium
67.0,42.1,5.35,1,5.51,High
67.7,46.8,0.58,2,4.38,High
88.26,89.74,28.27,1,8.11,Low
79.46,71.37,9.05,2,6.24,Medium
47.49,36.88,1.88,2,4.49,High
78.47,65.29,11.62,2,7.47,Medium
98.76,80.51,23.46,0,9.67,Low
72.19,73.99,9.59,2,7.85,Medium
91.0,95.75,24.34,0,8.09,Low
54.98,44.27,0.22,4,4.27,High
74.75,56.67,14.63,2,6.43,Medium
96.31,99.63,25.21,0,8.35,Low
58.21,52.94,1.89,3,5.23,High
74.76,70.43,14.21,2,7.25,Medium
75.07,64.33,10.78,2,6.65,Medium
51.36,35.79,1.74,4,4.99,High
57.42,44.19,6.48,4,5.32,High
57.25,31.13,0.69,3,5.06,High
75.24,74.94,11.37,0,7.21,Medium
74.84,73.87,13.63,0,7.56,Medium
69.91,30.46,0.56,1,4.33,High
69.13,35.08,2.26,2,5.37,High
83.29,61.5,12.23,2,7.54,Medium
67.35,40.74,1.03,2,5.86,High
77.76,68.7,12.52,1,6.12,Medium
74.61,60.9,10.31,1,7.94,Medium
97.08,92.54,26.08,1,8.72,Low
55.84,46.48,7.98,1,4.47,High
98.55,97.46,25.98,0,8.93,Low
99.75,97.19,17.99,0,9.18,Low
98.7,98.47,18.27,1,9.71,Low
51.89,36.97,0.31,2,5.3,High
54.41,47.53,7.78,3,5.53,High
85.8,87.73,23.12,1,9.85,Low
47.05,51.98,3.41,2,4.25,High
81.72,56.63,9.39,0,7.59,Medium
96.53,82.33,17.92,0,9.53,Low
63.99,54.31,5.61,5,4.36,High
83.76,67.0,13.63,2,7.63,Medium
66.15,54.54,4.2,5,5.07,High
86.28,89.42,27.82,0,9.27,Low
71.1,67.25,13.06,1,7.69,Medium
90.34,91.53,22.83,1,9.8,Low
41.08,44.06,1.92,2,5.74,High
84.88,64.19,13.67,2,7.05,Medium
93.21,94.3,26.25,0,9.83,Low
83.19,65.18,13.52,0,7.44,Medium
48.95,31.74,1.39,3,4.82,High
56.85,40.33,7.32,4,4.44,High
72.63,64.88,11.75,1,7.95,Medium
96.76,84.57,25.99,1,9.33,Low
99.06,96.22,27.3,0,9.72,Low
66.71,53.74,2.33,1,5.51,High
62.85,46.22,5.61,2,5.03,High
60.39,53.93,2.45,3,4.29,High
95.04,89.6,17.09,0,9.07,Low
60.1,42.63,7.37,2,4.29,High
70.64,72.64,8.37,0,6.79,Medium
49.2,48.51,1.15,3,4.64,High
85.44,97.91,17.48,0,9.56,Low
98.22,76.15,28.1,0,8.2,Low
69.23,39.01,5.52,1,5.92,High
90.99,90.36,23.87,0,9.79,Low
96.08,95.68,28.4,1,9.21,Low
76.61,65.88,9.55,2,7.52,Medium
93.54,78.75,22.98,0,8.54,Low
67.67,42.26,5.05,5,5.57,High
61.11,49.49,6.64,4,4.11,High
96.48,85.0,23.51,1,9.34,Low
89.82,94.17,15.69,0,8.23,Low
80.83,57.09,12.45,1,7.05,Medium
86.46,86.0,20.21,0,8.4,Low
98.91,90.93,29.0,1,8.49,Low
73.78,57.41,9.95,0,6.78,Medium
44.15,45.5,0.96,3,5.45,High
76.29,57.98,14.04,2,6.71,Medium
70.75,73.76,14.84,1,6.53,Medium
81.34,72.49,13.79,1,7.1,Medium
71.7,58.01,9.55,0,6.35,Medium
55.6,45.72,2.86,1,4.78,High
97.76,85.33,25.04,0,8.51,Low
41.01,42.21,2.46,1,5.78,High
96.96,94.9,26.77,0,9.74,Low
63.7,47.65,2.14,1,4.23,High
74.42,71.91,10.43,1,7.19,Medium
93.21,86.6,23.56,0,9.23,Low
86.4,85.93,19.0,0,9.12,Low
48.78,42.43,0.48,5,4.66,High
95.76,95.48,21.24,0,9.38,Low
69.27,52.12,6.39,2,5.41,High
41.96,50.31,2.84,5,4.72,High
41.5,45.48,2.88,5,4.67,High
92.78,75.45,29.34,0,8.01,Low
68.09,35.13,5.59,1,4.4,High
84.77,74.48,13.74,1,7.82,Medium
91.28,86.88,27.1,0,9.58,Low
87.34,92.88,23.2,0,8.93,Low
58.82,44.6,6.75,5,4.02,High
74.42,63.08,11.25,1,6.61,Medium
93.42,82.17,19.6,1,9.76,Low
57.01,34.91,4.82,1,4.96,High
95.63,91.29,20.75,1,9.02,Low
75.2,55.43,12.06,2,7.79,Medium
61.76,50.24,1.17,3,4.51,High
67.38,51.86,1.45,1,5.35,High
48.09,46.14,7.14,5,5.22,High
75.13,61.42,14.37,0,6.82,Medium
89.49,98.46,27.55,0,9.11,Low
43.09,32.27,6.36,2,4.21,High
55.24,45.63,2.78,4,5.5,High
93.8,75.65,21.68,0,8.48,Low
64.06,40.81,6.37,4,5.65,High
91.26,92.43,15.94,0,8.89,Low
79.63,58.08,10.68,1,6.9,Medium
72.05,70.13,9.95,1,6.24,Medium
99.74,99.61,23.57,0,8.18,Low
47.35,51.17,2.15,1,4.67,High
57.84,36.92,0.17,3,4.03,High
82.54,66.16,10.44,0,7.19,Medium
80.48,70.96,14.09,1,7.33,Medium
84.51,69.23,10.71,1,6.98,Medium
96.3,83.57,17.45,1,9.43,Low
57.12,45.94,7.87,3,4.17,High
76.17,68.23,13.86,0,6.84,Medium
68.85,48.29,0.03,2,5.14,High
72.07,62.02,11.98,1,6.01,Medium
59.77,47.78,0.37,4,5.92,High
91.63,79.28,27.56,0,9.25,Low
97.08,99.29,19.11,0,9.01,Low
75.07,56.56,11.92,0,6.94,Medium
82.1,57.96,11.17,1,6.99,Medium
61.78,53.51,3.63,3,4.85,High
93.82,80.27,21.45,0,9.61,Low
94.22,77.89,26.27,1,9.29,Low
59.93,31.77,3.43,1,4.79,High
86.08,85.23,24.26,0,9.11,Low
69.62,51.78,2.85,3,4.54,High
69.14,48.43,5.91,2,4.27,High
43.42,38.98,7.53,4,5.61,High
92.67,82.13,25.34,0,8.87,Low
97.71,92.01,18.08,0,8.01,Low
72.39,58.87,12.14,0,7.65,Medium
74.51,64.14,13.05,0,7.25,Medium
89.44,90.48,24.02,0,8.05,Low
82.43,73.16,9.55,0,7.11,Medium
47.36,42.39,7.78,4,4.65,High
54.4,42.6,0.32,3,5.41,High
94.42,86.31,29.06,0,9.42,Low
72.74,63.31,8.61,0,7.15,Medium
84.0,57.51,13.76,1,6.52,Medium
48.03,48.31,2.36,1,5.19,High
94.33,80.79,25.04,0,8.78,Low
92.06,75.42,17.07,1,8.98,Low
80.14,71.59,11.53,2,7.24,Medium
88.79,80.96,17.59,0,8.73,Low
45.13,33.49,6.02,5,4.27,High
67.23,34.22,2.51,5,5.92,High
81.36,65.38,8.55,1,7.84,Medium
71.98,57.69,11.01,0,7.83,Medium
44.32,48.94,1.25,4,4.23,High
88.65,92.97,16.38,1,9.37,Low
73.49,56.15,11.25,1,6.23,Medium
80.68,57.36,13.61,1,7.35,Medium
49.21,53.4,3.89,1,4.14,High
62.44,36.04,4.06,3,5.7,High
84.92,71.38,13.96,0,7.14,Medium
76.19,70.18,9.97,1,6.25,Medium
62.54,35.98,3.53,1,5.95,High
59.43,37.86,6.58,5,5.26,High
75.16,67.49,8.98,2,6.12,Medium
45.65,43.06,5.29,2,4.44,High
76.96,74.99,13.5,0,6.97,Medium
76.19,56.43,11.61,2,6.0,Medium
75.79,68.32,9.82,0,7.57,Medium
85.87,80.4,26.13,0,9.8,Low
90.77,83.53,27.45,0,9.07,Low
99.28,80.16,17.77,1,8.58,Low
92.86,94.38,18.36,0,8.76,Low
59.79,50.4,3.86,4,5.81,High
